"System Backup","Backup do Sistema",module,Magento_Backup
"Database and Media Backup","Backup do Banco de dados e Mídia",module,Magento_Backup
"Database Backup","Backup do banco de dados",module,Magento_Backup
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","O arquivo pode ser descomprimido com <a href=""%1"">%2</a> no sistema Windows.",module,Magento_Backup
"You need more permissions to activate maintenance mode right now.","Você precisa de mais permissões para ativar o modo de manutenção nesse momento.",module,Magento_Backup
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.",module,Magento_Backup
"Something went wrong while putting your store into maintenance mode.","Algo deu errado ao colocar sua loja no modo de manutenção.",module,Magento_Backup
"You need more free space to create a backup.","Você precisa de mais espaço livre para criar um backup.",module,Magento_Backup
"You need more permissions to create a backup.","Você precisa de mais permissões para criar um backup.",module,Magento_Backup
"We can't create the backup right now.","Não podemos criar o backup nesse momento.",module,Magento_Backup
Backups,Backups,module,Magento_Backup
System,Sistema,module,Magento_Backup
Tools,Ferramentas,module,Magento_Backup
Backup,Backup,module,Magento_Backup
"We can't delete one or more backups.","Nós não podemos deletar um ou mais backups.",module,Magento_Backup
failed,falhou,module,Magento_Backup
successful,"bem sucedido",module,Magento_Backup
"You deleted the selected backup(s).","Você excluiu o(s) backup(s) selecionado(s).",module,Magento_Backup
"Can't load snapshot archive","Não é possível carregar o arquivo de snapshot",module,Magento_Backup
"Please correct the password.","Por favor, corrija a senha.",module,Magento_Backup
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.",module,Magento_Backup
"We can't find the backup file.","Não encontramos o arquivo de backup.",module,Magento_Backup
"We can't connect to the FTP right now.","Nós não podemos conectar ao FTP nesse momento.",module,Magento_Backup
"Failed to validate FTP.","Falha ao validar FTP.",module,Magento_Backup
"You need more permissions to perform a rollback.","Você precisa mais permissões para executar uma reversão.",module,Magento_Backup
"Failed to rollback.","Falha ao reverter.",module,Magento_Backup
Database,"Banco de dados",module,Magento_Backup
"Database and Media","Banco de dados e Mídia",module,Magento_Backup
"System (excluding Media)","Sistema (excluindo Mídia)",module,Magento_Backup
"You created the system backup.","Você criou o backup do sistema.",module,Magento_Backup
"You created the system backup (excluding media).","Você criou o backup do sistema (excluindo mídia).",module,Magento_Backup
"You created the database and media backup.","Você criou um backup do banco de dados e mídia.",module,Magento_Backup
"You created the database backup.","Você criou um backup do banco de dados.",module,Magento_Backup
"Please correct the order of creation for a new backup.","Por favor, corrija a ordem de criação para um novo backup.",module,Magento_Backup
"The backup file does not exist.","O arquivo de backup não existe.",module,Magento_Backup
"The backup file path was not specified.","O caminho do arquivo de backup não foi especificado.",module,Magento_Backup
"The backup file ""%1"" does not exist.","O arquivo de backup ""%1"" não existe.",module,Magento_Backup
"Sorry, but we cannot read from or write to backup file ""%1"".","Desculpe, não foi possível ler ou gravar o arquivo de backup ""%1"".",module,Magento_Backup
"The backup file handler was unspecified.","O arquivo de backup apontado foi especificado.",module,Magento_Backup
"Something went wrong while writing to the backup file ""%1"".","Algo deu errado durante a gravação do arquivo de backup ""%1"".",module,Magento_Backup
"We can't save the Cron expression.","Não podemos salvar a expressão ""Cron"".",module,Magento_Backup
"You will lose any data created since the backup was made, including admin users, customers and orders.","Você vai perder qualquer dado criado desde que o backup foi feito, incluindo usuários do admin, clientes e pedidos.",module,Magento_Backup
"Are you sure you want to continue?","Você tem certeza que deseja continuar?",module,Magento_Backup
"This may take a few moments.","This may take a few moments.",module,Magento_Backup
"Be sure your store is in maintenance mode during backup.","Be sure your store is in maintenance mode during backup.",module,Magento_Backup
"Backup Name","Nome do backup",module,Magento_Backup
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Por favor, use somente letras (a-z ou A-Z), números (0-9) ou espaços neste campo.",module,Magento_Backup
"Maintenance mode","Maintenance mode",module,Magento_Backup
"Please put your store into maintenance mode during backup.","Por favor, coloque sua loja em modo de manutenção durante o backup.",module,Magento_Backup
Exclude,Excluir,module,Magento_Backup
"Exclude media folder from backup","Excluir a pasta de mídia do backup",module,Magento_Backup
"Please enter the password to confirm rollback.","Por favor digite a senha para confirmar a reversão.",module,Magento_Backup
"This action cannot be undone.","Esta ação não pode ser desfeita.",module,Magento_Backup
"User Password","Senha de usuário",module,Magento_Backup
"Please put your store into maintenance mode during rollback processing.","Por favor, coloque sua loja em modo de manutenção durante o processamento de reversão.",module,Magento_Backup
FTP,FTP,module,Magento_Backup
"Use FTP Connection","Usar Conexão FTP",module,Magento_Backup
"FTP credentials","Credenciais FTP",module,Magento_Backup
"FTP Host","Servidor FTP",module,Magento_Backup
"FTP Login","Login FTP",module,Magento_Backup
"FTP Password","Senha FTP",module,Magento_Backup
"Magento root directory","Diretório raiz do Magento",module,Magento_Backup
"Create Backup","Criar Backup",module,Magento_Backup
"Scheduled Backup Settings","Configurações de backup agendados",module,Magento_Backup
"Enable Scheduled Backup","Habilitar o backup agendado",module,Magento_Backup
"Backup Type","Tipo de backup",module,Magento_Backup
"Start Time","Hora de Início",module,Magento_Backup
Frequency,Frequência,module,Magento_Backup
"Maintenance Mode","Modo de manutenção",module,Magento_Backup
Delete,Excluir,module,Magento_Backup
"Are you sure you want to delete the selected backup(s)?","Você tem certeza que deseja excluir os backup(s) selecionados?",module,Magento_Backup
Time,Tempo,module,Magento_Backup
Name,Nome,module,Magento_Backup
Size(bytes),"Tamanho (bytes)",module,Magento_Backup
Type,Tipo,module,Magento_Backup
Download,"Fazer Download",module,Magento_Backup
Action,Ação,module,Magento_Backup
Rollback,Reversão,module,Magento_Backup
