Root,Raiz,module,Magento_Catalog
"Save Category","Salvar Categoria",module,Magento_Catalog
"Delete Category","Excluir Categoria",module,Magento_Catalog
Reset,Reiniciar,module,Magento_Catalog
"New Subcategory","Nova Subcategoria",module,Magento_Catalog
"New Root Category","Nova Categoria Raiz",module,Magento_Catalog
"Set Root Category for Store","Selecione a Categoria Raiz da Loja",module,Magento_Catalog
"Use Config Settings","Usar Configurações padrão",module,Magento_Catalog
"Use All Available Attributes","Usar todos os atributos disponíveis",module,Magento_Catalog
"Custom Design","Design Personalizado",module,Magento_Catalog
ID,ID,module,Magento_Catalog
Name,Nome,module,Magento_Catalog
SKU,SKU,module,Magento_Catalog
Price,Preço,module,Magento_Catalog
Position,Posição,module,Magento_Catalog
"Category Data","Dados da Categoria",module,Magento_Catalog
"Category Products","Produtos da Categoria",module,Magento_Catalog
"Add Subcategory","Adicionar Subcategoria",module,Magento_Catalog
"Add Root Category","Adicionar Categoria Raiz",module,Magento_Catalog
Day,Dia,module,Magento_Catalog
Month,Mês,module,Magento_Catalog
Year,Ano,module,Magento_Catalog
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>de</span></label>",module,Magento_Catalog
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>para</span></label>",module,Magento_Catalog
[GLOBAL],[GLOBAL],module,Magento_Catalog
[WEBSITE],[WEBSITE],module,Magento_Catalog
"[STORE VIEW]","[VISÃO DE LOJA]",module,Magento_Catalog
"WYSIWYG Editor","Editor WYSIWYG",module,Magento_Catalog
"Add Product","Adicionar produto",module,Magento_Catalog
label,rótulo,module,Magento_Catalog
"Product Attributes","Atributos de Produto",module,Magento_Catalog
"Add New Attribute","Adicionar Novo Atributo",module,Magento_Catalog
"Save in New Attribute Set","Salvar no novo atributo",module,Magento_Catalog
"Enter Name for New Attribute Set","Enter Name for New Attribute Set",module,Magento_Catalog
"Save and Continue Edit","Salvar e Continuar a Editar",module,Magento_Catalog
"Save Attribute","Salvar Atributo",module,Magento_Catalog
"Delete Attribute","Excluir Atributo",module,Magento_Catalog
"Edit Product Attribute ""%1""","Editar o atributo do produto ""%1""",module,Magento_Catalog
"New Product Attribute","Novo Atributo de Produto",module,Magento_Catalog
"Advanced Attribute Properties","Propriedades de Atributo Avançado",module,Magento_Catalog
"Attribute Code","Código do Atributo",module,Magento_Catalog
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isso é usado internamente. Certifique-se de que você não use espaços ou mais de %1 símbolo(s).",module,Magento_Catalog
"Default Value","Valor Padrão",module,Magento_Catalog
"Unique Value","Valor Único",module,Magento_Catalog
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)",module,Magento_Catalog
"Not shared with other products","Não compartilhado com outros produtos",module,Magento_Catalog
"Input Validation for Store Owner","Campo de Validação para o dono da loja",module,Magento_Catalog
"Add to Column Options","Adicionar a coluna de opções",module,Magento_Catalog
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selecione ""Sim"" para adicionar esse atributo para a lista de opções de coluna na grade de produto.",module,Magento_Catalog
"Use in Filter Options","Uso em opções de filtro",module,Magento_Catalog
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selecione ""Sim"" para adicionar esse atributo para a lista de opções de filtro na grade de produto.",module,Magento_Catalog
"Store View","Visão de Loja",module,Magento_Catalog
Website,Website,module,Magento_Catalog
Global,Global,module,Magento_Catalog
Scope,Escopo,module,Magento_Catalog
"Declare attribute value saving scope","Declarar valor do atributo de escopo",module,Magento_Catalog
"Storefront Properties","Propriedades da Loja",module,Magento_Catalog
"Use in Search","Uso em Pesquisa",module,Magento_Catalog
"Visible in Advanced Search","Visível na pesquisa avançada",module,Magento_Catalog
"Comparable on Storefront","Comparável na Loja",module,Magento_Catalog
"Use for Promo Rule Conditions","Uso para condições de regra de Promoções",module,Magento_Catalog
"Enable WYSIWYG","Habilitar WYSIWYG",module,Magento_Catalog
"Allow HTML Tags on Storefront","Permitir Tags HTML na loja",module,Magento_Catalog
"Visible on Catalog Pages on Storefront","Visível nas páginas do catálogo da loja",module,Magento_Catalog
"Used in Product Listing","Usado na listagem de produtos",module,Magento_Catalog
"Depends on design theme","Depende do tema do projeto",module,Magento_Catalog
"Used for Sorting in Product Listing","Usado para ordenação na listagem de produtos",module,Magento_Catalog
"Media Image","Mídia de Imagem",module,Magento_Catalog
Gallery,Galeria,module,Magento_Catalog
"System Properties","Propriedades do sistema",module,Magento_Catalog
No,Não,module,Magento_Catalog
Yes,Sim,module,Magento_Catalog
"Data Type for Saving in Database","Tipo de dados para salvar no banco de dados",module,Magento_Catalog
Text,Texto,module,Magento_Catalog
Varchar,Varchar,module,Magento_Catalog
Static,Estático,module,Magento_Catalog
Datetime,"Data e Hora",module,Magento_Catalog
Decimal,Decimal,module,Magento_Catalog
Integer,Inteiro,module,Magento_Catalog
"Globally Editable","Globalmente editável",module,Magento_Catalog
"Attribute Information","Informações de atributo",module,Magento_Catalog
Properties,Propriedades,module,Magento_Catalog
"Manage Labels","Gerenciar rótulos",module,Magento_Catalog
Visible,Visível,module,Magento_Catalog
"Web Site",Website,module,Magento_Catalog
Searchable,Pesquisável,module,Magento_Catalog
Comparable,Comparável,module,Magento_Catalog
"Delete Selected Group","Apagar Grupo Selecionado",module,Magento_Catalog
"Add New","Adicionar Novo",module,Magento_Catalog
Back,Voltar,module,Magento_Catalog
Delete,Excluir,module,Magento_Catalog
"You are about to delete all products in this attribute set. Are you sure you want to do that?","You are about to delete all products in this attribute set. Are you sure you want to do that?",module,Magento_Catalog
Save,Salvar,module,Magento_Catalog
"New Set Name","Novo Nome do Conjunto",module,Magento_Catalog
"Edit Attribute Set '%1'","Edit Attribute Set '%1'",module,Magento_Catalog
Empty,Vazio,module,Magento_Catalog
"Add Attribute","Adicionar Atributo",module,Magento_Catalog
"Add New Group","Adicionar Novo Grupo",module,Magento_Catalog
"Add Group","Adicionar Grupo",module,Magento_Catalog
"Edit Attribute Set Name","Edit Attribute Set Name",module,Magento_Catalog
"For internal use","Para uso interno",module,Magento_Catalog
"Based On","Com Base Na",module,Magento_Catalog
"Add New Attribute Set","Add New Attribute Set",module,Magento_Catalog
"Add Attribute Set","Add Attribute Set",module,Magento_Catalog
"Attribute Sets","Attribute Sets",module,Magento_Catalog
"Close Window","Fechar Janela",module,Magento_Catalog
"New Product","Novo Produto",module,Magento_Catalog
"Save & Edit","Salvar e Editar",module,Magento_Catalog
"Save & New","Salvar e Novo",module,Magento_Catalog
"Save & Duplicate","Salvar e Duplicar",module,Magento_Catalog
"Save & Close","Salvar e Fechar",module,Magento_Catalog
Attributes,Atributos,module,Magento_Catalog
Change,Alterar,module,Magento_Catalog
"Advanced Inventory","Estoque Avançado",module,Magento_Catalog
Websites,Websites,module,Magento_Catalog
"Products Information","Informação de produtos",module,Magento_Catalog
"Category Name","Nome da Categoria",module,Magento_Catalog
