"Is New Update Checked","Is New Update Checked",module,Magento_CatalogStaging
Name,Nome,module,Magento_CatalogStaging
Description,Descrição,module,Magento_CatalogStaging
"Start Time","Hora de Início",module,Magento_CatalogStaging
"End Time","End Time",module,Magento_CatalogStaging
"Create Future Update","Create Future Update",module,Magento_CatalogStaging
"Something went wrong while saving the category.","Something went wrong while saving the category.",module,Magento_CatalogStaging
"Attribute ""%1"" is required.","Attribute ""%1"" is required.",module,Magento_CatalogStaging
"Unable to save product","Unable to save product",module,Magento_CatalogStaging
"The image cannot be removed as it has been assigned to the other image role","The image cannot be removed as it has been assigned to the other image role",module,Magento_CatalogStaging
Enabled,Enabled,module,Magento_CatalogStaging
Disabled,Disabled,module,Magento_CatalogStaging
View/Edit,View/Edit,module,Magento_CatalogStaging
Delete,Excluir,module,Magento_CatalogStaging
Preview,Pré-visualização,module,Magento_CatalogStaging
"Store View:","Store View:",module,Magento_CatalogStaging
"Stores Configuration","Stores Configuration",module,Magento_CatalogStaging
"Scheduled Changes","Scheduled Changes",module,Magento_CatalogStaging
"Start Date","Start Date",module,Magento_CatalogStaging
Action,Ação,module,Magento_CatalogStaging
"End Date","End Date",module,Magento_CatalogStaging
"Update Information","Update Information",module,Magento_CatalogStaging
"Remove Category from Update","Remove Category from Update",module,Magento_CatalogStaging
"Update Name","Update Name",module,Magento_CatalogStaging
"Start date","Start date",module,Magento_CatalogStaging
"End date","End date",module,Magento_CatalogStaging
"Enable Category","Enable Category",module,Magento_CatalogStaging
"Include in Menu","Include in Menu",module,Magento_CatalogStaging
"Category Name","Category Name",module,Magento_CatalogStaging
Content,Content,module,Magento_CatalogStaging
"Category Image","Category Image",module,Magento_CatalogStaging
"Add CMS Block","Add CMS Block",module,Magento_CatalogStaging
"Display Settings","Display Settings",module,Magento_CatalogStaging
Anchor,Anchor,module,Magento_CatalogStaging
"Sort Products By","Sort Products By",module,Magento_CatalogStaging
"Use All","Use All",module,Magento_CatalogStaging
"Default Product Sorting","Default Product Sorting",module,Magento_CatalogStaging
"Use Config Settings","Use Config Settings",module,Magento_CatalogStaging
"Layered Navigation Price Step","Layered Navigation Price Step",module,Magento_CatalogStaging
"Search Engine Optimization","Search Engine Optimization",module,Magento_CatalogStaging
"Meta Title","Meta Title",module,Magento_CatalogStaging
"Meta Keywords","Meta Keywords",module,Magento_CatalogStaging
"Meta Description","Meta Description",module,Magento_CatalogStaging
Design,Design,module,Magento_CatalogStaging
"Use Parent Category Settings","Use Parent Category Settings",module,Magento_CatalogStaging
"New Theme","New Theme",module,Magento_CatalogStaging
Layout,Layout,module,Magento_CatalogStaging
"Layout Update XML","Layout Update XML",module,Magento_CatalogStaging
"Apply Design to Products","Apply Design to Products",module,Magento_CatalogStaging
"Save as a new update","Save as a new update",module,Magento_CatalogStaging
"Move to another scheduled change","Move to another scheduled change",module,Magento_CatalogStaging
"Delete the scheduled change","Delete the scheduled change",module,Magento_CatalogStaging
"Deleting the change will remove the page from this update and all scheduled changes will be lost.","Deleting the change will remove the page from this update and all scheduled changes will be lost.",module,Magento_CatalogStaging
20,20,module,Magento_CatalogStaging
30,30,module,Magento_CatalogStaging
50,50,module,Magento_CatalogStaging
100,100,module,Magento_CatalogStaging
200,200,module,Magento_CatalogStaging
ID,ID,module,Magento_CatalogStaging
Thumbnail,Thumbnail,module,Magento_CatalogStaging
"Attribute Set","Attribute Set",module,Magento_CatalogStaging
AttributeSetText,AttributeSetText,module,Magento_CatalogStaging
Status,Status,module,Magento_CatalogStaging
StatusText,StatusText,module,Magento_CatalogStaging
Type,Type,module,Magento_CatalogStaging
SKU,SKU,module,Magento_CatalogStaging
Price,Price,module,Magento_CatalogStaging
"Update Informa1tion","Update Informa1tion",module,Magento_CatalogStaging
"Remove Product from Update","Remove Product from Update",module,Magento_CatalogStaging
"Set Product as New","Set Product as New",module,Magento_CatalogStaging
"Deleting the change will remove the product from this update and all scheduled changes will be lost.","Deleting the change will remove the product from this update and all scheduled changes will be lost.",module,Magento_CatalogStaging
Products,Products,module,Magento_CatalogStaging
Categories,Categories,module,Magento_CatalogStaging
Path,Path,module,Magento_CatalogStaging
Quantity,Quantity,module,Magento_CatalogStaging
Visibility,Visibility,module,Magento_CatalogStaging
Websites,Websites,module,Magento_CatalogStaging
