"We can't save the cron expression.","Não foi possível salvar a expressão cron.",module,Magento_Cron
Daily,Diário,module,Magento_Cron
Weekly,Semanal,module,Magento_Cron
Monthly,Mensal,module,Magento_Cron
"Invalid cron expression: %1","Expressão cron inválido: %1",module,Magento_Cron
"Invalid cron expression, expecting 'match/modulus': %1","Expressão cron inválido, esperando 'match/modulus': %1",module,Magento_Cron
"Invalid cron expression, expecting numeric modulus: %1","Expressão cron inválido, esperando o módulo numérico: %1",module,Magento_Cron
"Invalid cron expression, expecting 'from-to' structure: %1","Expressão cron inválido, esperando estrutura 'from-to': %1",module,Magento_Cron
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (tarefas agendadas) - todas as vezes são em minutos",module,Magento_Cron
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.",module,Magento_Cron
"Cron configuration options for group: ","Opções de configuração do cron para o grupo: ",module,Magento_Cron
"Generate Schedules Every","Generate Schedules Every",module,Magento_Cron
"Schedule Ahead for","Schedule Ahead for",module,Magento_Cron
"Missed if Not Run Within","Missed if Not Run Within",module,Magento_Cron
"History Cleanup Every","History Cleanup Every",module,Magento_Cron
"Success History Lifetime","Success History Lifetime",module,Magento_Cron
"Failure History Lifetime","Failure History Lifetime",module,Magento_Cron
"Use Separate Process","Use um processo separado",module,Magento_Cron
