"AVS result code","Código de resultado AVS",module,Magento_Cybersource
"CVN result code","Código de resultado CVN",module,Magento_Cybersource
"Card number","Número do cartão",module,Magento_Cybersource
"Card expiry date","Validade do cartão",module,Magento_Cybersource
Decision,Decisão,module,Magento_Cybersource
"Transaction ID","ID Transação",module,Magento_Cybersource
"Risk Score","Índice de Risco",module,Magento_Cybersource
"Risk Factor","Fator de Risco",module,Magento_Cybersource
"Reference number","Número de Referência",module,Magento_Cybersource
"Excessive address change. The customer changed the billing address two or more times in the last six months","Excesso de alterações de endereço. O cliente alterou o endereço de cobrança duas ou mais vezes nos últimos seis meses",module,Magento_Cybersource
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Risco BIN autoriza do cartão. Fatores de risco um relacionados ao cartão de crédito BIN e/ou verificações de autorização de crtão",module,Magento_Cybersource
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Números elevado de cartões. O cliente usou mais de seis números de cartões de crédito nos últimos seis meses",module,Magento_Cybersource
"Email address impact. The customer uses a free email provider, or the email address is risky","Impacto do endereço de e-mail. O cliente utiliza um provedor de e-mail gratuito, ou o endereço de e-mail não é confiável",module,Magento_Cybersource
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Lista positiva. O cliente está na sua lista positiva. Guia de desenvolvedor de decisão Manager usando o simples ordem AP de 201 janeiro 10 apêndice informações e códigos de resposta",module,Magento_Cybersource
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list",Todos,module,Magento_Cybersource
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Inconsistência de Geolocalização. O domínio do e-mail, telefone, endereço de cobrança, endereço de entrega ou endereço IP do cliente é suspeito",module,Magento_Cybersource
"Excessive name changes. The customer changed the name two or more times in the last six months","Excesso de alteração de nome. O cliente alterou o nome duas ou mais vezes nos últimos seis meses",module,Magento_Cybersource
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Inconsistências de Internet. O domínio do e-mail e o endereço IP não são consistentes com o endereço de cobrança",module,Magento_Cybersource
"Nonsensical input. The customer name and address fields contain meaningless words or language","Dados inconsistentes. Os campos de Nome e Endereço do cliente contém palavras ou linguagem sem sentido",module,Magento_Cybersource
"Obscenities. The customer’s input contains obscene words","Obsceno. Os dados do cliente contém palavras obscenas",module,Magento_Cybersource
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number",todos,module,Magento_Cybersource
"Phone inconsistencies. The customer’s phone number is suspicious","Inconsistências de telefone. Número de telefone do cliente é suspeito",module,Magento_Cybersource
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Pedido de risco. A transação, cliente e informações de mercado mostram múltiplas co-relações de auto risco",module,Magento_Cybersource
"Time hedge. The customer is attempting a purchase outside of the expected hours","Conversão de tempo. O cliente está tentando uma compra fora do horário esperado",module,Magento_Cybersource
"Unverifiable address. The billing or shipping address cannot be verified","Endereço não verificado. O endereço de cobrança ou entrega não pode ser verificado",module,Magento_Cybersource
"Velocity. The account number was use  many times in the past 15 minutes","Excesso. O número da conta foi utilizado muitas vezes nos últimos 15 minutos",module,Magento_Cybersource
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Marcado como suspeito. O endereço de cobrança ou entrega é similar a um endereço anteriormente marcado como suspeito",module,Magento_Cybersource
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Ordem de presente. O endereço da rua, cidade, estado ou país de facturação e endereços para entrega não se correlacionam",module,Magento_Cybersource
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Valor inválido. Devido à requisição conter um valor inesperado, um valor padrão o substituiu. Embora a transação ainda possa ocorrer, verifique a requisição por anormalidades cuidadosamente no pedido",module,Magento_Cybersource
"Unknown factor. Please contact Cybersource customer service","Fator desconhecido. Por favor, contate o serviço de atendimento ao cliente da Cybersource",module,Magento_Cybersource
"Payment Token Build Error.","Erro na Geração do Token de Pagamento.",module,Magento_Cybersource
"Your payment has been declined. Please try again.","Seu pagamento foi recusado. Por favor, tente novamente.",module,Magento_Cybersource
"CC type field should be provided","Tipo do CC deve ser informado",module,Magento_Cybersource
"Gateway validation error","Erro de validação de gateway",module,Magento_Cybersource
"Authorize Only","Apenas Autorizar",module,Magento_Cybersource
"Risk Factor Q","Fator de Risco Q",module,Magento_Cybersource
"Risk Factor V","Fator de risco V",module,Magento_Cybersource
Cybersource,Cybersource,module,Magento_Cybersource
Enabled,Habilitado,module,Magento_Cybersource
"Payment Action","Payment Action",module,Magento_Cybersource
Title,Título,module,Magento_Cybersource
"Merchant ID","Merchant ID",module,Magento_Cybersource
"Transaction Key","Transaction Key",module,Magento_Cybersource
"Profile ID","Profile ID",module,Magento_Cybersource
"Access Key","Access Key",module,Magento_Cybersource
"Secret Key","Secret Key",module,Magento_Cybersource
"New Order Status","New Order Status",module,Magento_Cybersource
"Test Mode","Test Mode",module,Magento_Cybersource
Debug,Depurar/Debug,module,Magento_Cybersource
"Credit Card Types","Credit Card Types",module,Magento_Cybersource
"Payment from Applicable Countries","Payment from Applicable Countries",module,Magento_Cybersource
"Payment from Specific Countries","Payment from Specific Countries",module,Magento_Cybersource
"Minimum Order Total","Minimum Order Total",module,Magento_Cybersource
"Maximum Order Total","Maximum Order Total",module,Magento_Cybersource
"Sort Order",Ordernação,module,Magento_Cybersource
