"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Selecione aqui para permitir que a DHL otimize as cobranças de entrega dividindo o pedido se houver excesso em %1 e %2.",module,Magento_Dhl
"Wrong Content Type","Tipo de conteúdo errado",module,Magento_Dhl
Pounds,Libras,module,Magento_Dhl
Kilograms,Quilogramas,module,Magento_Dhl
Inches,Polegadas,module,Magento_Dhl
Centimeters,Centímetros,module,Magento_Dhl
inch,polegada,module,Magento_Dhl
cm,cm,module,Magento_Dhl
Height,Altura,module,Magento_Dhl
Depth,Profundidade,module,Magento_Dhl
Width,Largura,module,Magento_Dhl
Regular,Regular,module,Magento_Dhl
Specific,Específicas,module,Magento_Dhl
"Easy shop","Compra Fácil",module,Magento_Dhl
Sprintline,Sprintline,module,Magento_Dhl
Secureline,Secureline,module,Magento_Dhl
"Express easy","Expresso fácil",module,Magento_Dhl
Europack,Europack,module,Magento_Dhl
"Break bulk express",tradução,module,Magento_Dhl
"Medical express",todos,module,Magento_Dhl
"Express worldwide","Expresso em todo o mundo",module,Magento_Dhl
"Express 9:00","Expresso 9:00",module,Magento_Dhl
"Express 10:30","Expresso 10:30",module,Magento_Dhl
"Domestic economy select","Todos
",module,Magento_Dhl
"Economy select","Selecione a economia",module,Magento_Dhl
"Break bulk economy","Break bulk economy",module,Magento_Dhl
"Domestic express","Domestic express",module,Magento_Dhl
Others,Outros,module,Magento_Dhl
"Globalmail business","Globalmail business",module,Magento_Dhl
"Same day","Mesmo dia",module,Magento_Dhl
"Express 12:00","Express 12:00",module,Magento_Dhl
"Express envelope","Express envelope",module,Magento_Dhl
"Customer services","Atendimento ao cliente",module,Magento_Dhl
Jetline,Jetline,module,Magento_Dhl
"Freight worldwide","Frete para o mundo todo",module,Magento_Dhl
"Jumbo box","Jumbo box",module,Magento_Dhl
"DHL service is not available at %s date","O serviço DHL não está disponível na data %s",module,Magento_Dhl
"The response is in wrong format.","A resposta está no formato errado.",module,Magento_Dhl
"Error #%1 : %2","Erro #%1: %2",module,Magento_Dhl
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","Tivemos que pular o método DHL %1 porque não foi possível encontrar a taxa de câmbio %2 (Moeda Base).",module,Magento_Dhl
"Zero shipping charge for '%1'","Taxa de envio zero para '%1'",module,Magento_Dhl
DHL,DHL,module,Magento_Dhl
"Cannot identify measure unit for %1","Não é possível identificar unidade de medida para %1",module,Magento_Dhl
"Cannot identify weight unit for %1","Não foi possível identificar a unidade de peso para %1",module,Magento_Dhl
"There is no items in this order","Não há nenhum item neste pedido",module,Magento_Dhl
"Please, specify origin country","Por favor, especifique o país de origem",module,Magento_Dhl
Documents,Documentos,module,Magento_Dhl
"Non Documents","Nenhuma Documentação",module,Magento_Dhl
"Height, width and length should be equal or greater than %1","Altura, largura e o comprimento devem ser iguais ou maior que %1",module,Magento_Dhl
"Wrong Region","Região errada",module,Magento_Dhl
"Unable to retrieve tracking","Não é possível recuperar o rastreamento",module,Magento_Dhl
"Response is in the wrong format","Resposta está no formato incorreto",module,Magento_Dhl
"No packages for request","Não há pacotes para solicitação",module,Magento_Dhl
"Unable to retrieve shipping label","Não é possível recuperar a etiqueta de envio",module,Magento_Dhl
"Non documents","Nenhuma documentação",module,Magento_Dhl
None,Nenhum,module,Magento_Dhl
"Enabled for Checkout","Enabled for Checkout",module,Magento_Dhl
"Gateway URL","Gateway URL",module,Magento_Dhl
Title,Título,module,Magento_Dhl
"Access ID","Access ID",module,Magento_Dhl
Password,Senha,module,Magento_Dhl
"Account Number","Account Number",module,Magento_Dhl
"Content Type","Content Type",module,Magento_Dhl
"Calculate Handling Fee","Calculate Handling Fee",module,Magento_Dhl
"Handling Applied","Handling Applied",module,Magento_Dhl
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.",module,Magento_Dhl
"Handling Fee","Handling Fee",module,Magento_Dhl
"Divide Order Weight","Divide Order Weight",module,Magento_Dhl
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.",module,Magento_Dhl
"Weight Unit","Weight Unit",module,Magento_Dhl
Size,Tamanho,module,Magento_Dhl
"Allowed Methods","Allowed Methods",module,Magento_Dhl
"Displayed Error Message","Displayed Error Message",module,Magento_Dhl
"Free Method","Free Method",module,Magento_Dhl
"Free Shipping Amount Threshold","Free Shipping Amount Threshold",module,Magento_Dhl
"Ship to Applicable Countries","Ship to Applicable Countries",module,Magento_Dhl
"Ship to Specific Countries","Ship to Specific Countries",module,Magento_Dhl
"Show Method if Not Applicable","Show Method if Not Applicable",module,Magento_Dhl
"Sort Order",Ordernação,module,Magento_Dhl
Debug,Depurar/Debug,module,Magento_Dhl
