"Downloadable Information","Informações de Download",module,Magento_Downloadable
"Add New Link","Add New Link",module,Magento_Downloadable
"Upload Files","Enviar Arquivo",module,Magento_Downloadable
"All Files","Todos os Arquivos",module,Magento_Downloadable
Unlimited,Ilimitado,module,Magento_Downloadable
"Something went wrong while getting the requested content.","Ocorreu algum problema ao solicitar o conteúdo.",module,Magento_Downloadable
"My Downloadable Products","Meus produtos para download",module,Magento_Downloadable
"We can't find the link you requested.","Não encontramos o link que você pediu.",module,Magento_Downloadable
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Por favor, efetue login para realizar o download de seu produto ou comprar <a href=""%1"">%2</a>.",module,Magento_Downloadable
"Please sign in to download your product.","Por favor, efetue login para realizar o download de seu produto.",module,Magento_Downloadable
"The link has expired.","O link expirou.",module,Magento_Downloadable
"The link is not available.","O link não está disponível.",module,Magento_Downloadable
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpa, ocorreu um erro ao solicitar o conteúdo que desejava. Entre em contato com o dono da loja.",module,Magento_Downloadable
"Please set resource file and link type.","Por favor, defina o arquivo de recurso e tipo de link.",module,Magento_Downloadable
"Invalid download link type.","Tipo de link do download inválido.",module,Magento_Downloadable
"Something went wrong while saving the file(s).","Ocorreu algum problema ao salvar o(s) arquivo(s).",module,Magento_Downloadable
"Provided content must be valid base64 encoded data.","O conteúdo fornecido deve ser codificado utilizado dados base64 válidos.",module,Magento_Downloadable
"Provided file name contains forbidden characters.","O nome de arquivo fornecido contém caracteres proibidos.",module,Magento_Downloadable
"Link price must have numeric positive value.","O preço do link deve ter valor numérico positivo.",module,Magento_Downloadable
"Number of downloads must be a positive integer.","O número de downloads deve ser um inteiro positivo.",module,Magento_Downloadable
"Sort order must be a positive integer.","A ordem de classificação deve ser um inteiro positivo.",module,Magento_Downloadable
"Link URL must have valid format.","A URL do link precisa ter um formato válido.",module,Magento_Downloadable
"Provided file content must be valid base64 encoded data.","O conteúdo fornecido deve ser codificado utilizado dados base64 válidos.",module,Magento_Downloadable
"Sample URL must have valid format.","A URL de Amostra precisa ter um formato válido.",module,Magento_Downloadable
