"Add New Template","Adicionar novo template",module,Magento_Email
"Transactional Emails","E-mails transacionais",module,Magento_Email
Back,Voltar,module,Magento_Email
Reset,Reiniciar,module,Magento_Email
"Delete Template","Excluir Template",module,Magento_Email
"Convert to Plain Text","Converter para texto sem formatação",module,Magento_Email
"Return Html Version","Retornar a versão Html",module,Magento_Email
"Preview Template","Visualizar template",module,Magento_Email
"Save Template","Salvar Template",module,Magento_Email
"Load Template","Carregar Template",module,Magento_Email
"Edit Email Template","Editar Template de e-mail",module,Magento_Email
"New Email Template","Novo Template de e-mail",module,Magento_Email
"Default Config","Configuração Padrão",module,Magento_Email
"Template Information","Informações do template",module,Magento_Email
"Currently Used For","Atualmente usado para",module,Magento_Email
"Template Name","Nome do template",module,Magento_Email
"Template Subject","Assunto do Template",module,Magento_Email
"Insert Variable...","Inserir variável...",module,Magento_Email
"Template Content","Conteúdo do Template",module,Magento_Email
"Template Styles","Estilos de template",module,Magento_Email
Preview,Pré-visualização,module,Magento_Email
Unknown,Desconhecido,module,Magento_Email
"You deleted the email template.","Você excluiu o modelo de e-mail.",module,Magento_Email
"The email template is currently being used.","O modelo de email está sendo usado atualmente.",module,Magento_Email
"We can't delete email template data right now. Please review log and try again.","Não é possível excluir dados do modelo de email agora. Por favor, revise o log e tente novamente.",module,Magento_Email
"We can't find an email template to delete.","Não encontramos um modelo de email para excluir.",module,Magento_Email
"Edit Template","Editar Template",module,Magento_Email
"Edit System Template","Editar o Template do sistema",module,Magento_Email
"New Template","Novo template",module,Magento_Email
"New System Template","Novo template do sistema",module,Magento_Email
"Email Templates","Modelos de e-mail",module,Magento_Email
"Email Preview","Visualização de e-mail",module,Magento_Email
"An error occurred. The email template can not be opened for preview.","Ocorreu um erro. O modelo de email não pode ser aberto para visualização.",module,Magento_Email
"This email template no longer exists.","Este modelo de email não existe mais.",module,Magento_Email
"You saved the email template.","Você salvou o modelo de e-mail.",module,Magento_Email
"Area is already set","A área já está definida",module,Magento_Email
"Design config must have area and store.","Design config must have area and store.",module,Magento_Email
"Base Unsecure URL","Base URL insegura",module,Magento_Email
"Base Secure URL","Base URL segura",module,Magento_Email
"General Contact Name","Nome de contato geral",module,Magento_Email
"General Contact Email","E-mail de contacto geral",module,Magento_Email
"Sales Representative Contact Name","Nome de contato do representante de vendas",module,Magento_Email
"Sales Representative Contact Email","E-mail de contato do representante de vendas",module,Magento_Email
"Custom1 Contact Name","Nome de contato PERSONALIZADO1",module,Magento_Email
"Custom1 Contact Email","E-mail de contato PERSONALIZADO1",module,Magento_Email
"Custom2 Contact Name","Nome de contato PERSONALIZADO2",module,Magento_Email
"Custom2 Contact Email","E-mail de contato PERSONALIZADO2",module,Magento_Email
"Store Name","Nome da loja",module,Magento_Email
"Store Phone Number","Número de telefone da loja",module,Magento_Email
"Store Hours","Armazenar horas",module,Magento_Email
Country,País,module,Magento_Email
Region/State,Região/estado,module,Magento_Email
"Zip/Postal Code",CEP,module,Magento_Email
City,Cidade,module,Magento_Email
"Street Address 1","Endereço da rua 1",module,Magento_Email
"Street Address 2","Endereço da rua 2",module,Magento_Email
"Store Contact Information","Armazenar informações de contato",module,Magento_Email
%1,%1,module,Magento_Email
"Template Variables","Variáveis do template",module,Magento_Email
"Please enter a template name.","Por favor insira um nome de template.",module,Magento_Email
"Duplicate Of Template Name","Nome do template duplicado",module,Magento_Email
"Invalid transactional email code: %1","Código transacional de e-mail inválido: %1",module,Magento_Email
"Requested invalid store ""%1""","Requested invalid store ""%1""",module,Magento_Email
"""file"" parameter must be specified","o parâmetro ""arquivo"" deve ser especificado",module,Magento_Email
"Contents of %s could not be loaded or is empty","Conteúdo de %s não pôde ser carregado ou está vazio",module,Magento_Email
"""file"" parameter must be specified and must not be empty","O parâmetro ""arquivo"" precisa ser específicado e não pode ser vazio",module,Magento_Email
"Design params must be set before calling this method","Os parâmetros de design devem ser definidos antes de chamar este método",module,Magento_Email
"<pre> %1 </pre>","<pre> %1 </pre>",module,Magento_Email
"CSS inlining error:","Erro inlining de CSS:",module,Magento_Email
"Error filtering template: %s","Erro ao filtrar template: %s",module,Magento_Email
