"Indexer Management","Indexer Management",module,Magento_Indexer
"Update by Schedule","Update by Schedule",module,Magento_Indexer
"Update on Save","Atualizar ao salvar",module,Magento_Indexer
"Reindex required","Reindex required",module,Magento_Indexer
Ready,Pronto,module,Magento_Indexer
Processing,Processando,module,Magento_Indexer
Never,Nunca,module,Magento_Indexer
"Index Management","Index Management",module,Magento_Indexer
"Please select indexers.","Please select indexers.",module,Magento_Indexer
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode.",module,Magento_Indexer
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error.",module,Magento_Indexer
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode.",module,Magento_Indexer
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.",module,Magento_Indexer
"State for the same indexer","State for the same indexer",module,Magento_Indexer
"State for the same view","State for the same view",module,Magento_Indexer
"Some Exception Message","Some Exception Message",module,Magento_Indexer
"Test Phrase","Frase de Teste",module,Magento_Indexer
Indexer,Indexador,module,Magento_Indexer
Description,Descrição,module,Magento_Indexer
Mode,Modo,module,Magento_Indexer
Status,Status,module,Magento_Indexer
Updated,Atualizado,module,Magento_Indexer
