"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later.",module,Magento_Msrp
"See price before order confirmation.","Ver preço antes de confirmar pedido.",module,Magento_Msrp
"On Gesture","On Gesture",module,Magento_Msrp
"In Cart","No carrinho",module,Magento_Msrp
"Before Order Confirmation","Before Order Confirmation",module,Magento_Msrp
"Use config","Usar o config",module,Magento_Msrp
"Click for price","Clique para precificar",module,Magento_Msrp
"What's this?","O que é isto?",module,Magento_Msrp
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order",module,Magento_Msrp
"You will see the order total before you submit the order.","You will see the order total before you submit the order.",module,Magento_Msrp
Price,Preço,module,Magento_Msrp
"Actual Price","Preço atual",module,Magento_Msrp
"Add to Cart","Adicionar ao Carrinho",module,Magento_Msrp
"Minimum Advertised Price","Preço mínimo anunciado",module,Magento_Msrp
"Enable MAP","Habilitar MAP",module,Magento_Msrp
"Display Actual Price","Display Actual Price",module,Magento_Msrp
"Default Popup Text Message","Default Popup Text Message",module,Magento_Msrp
"Default \"What's This\" Text Message","Default \"What's This\" Text Message",module,Magento_Msrp
