"Billing Agreements","Billing Agreements",module,Magento_Paypal
ID,ID,module,Magento_Paypal
Email,E-mail,module,Magento_Paypal
"First Name",Nome,module,Magento_Paypal
"Last Name",Sobrenome,module,Magento_Paypal
"Reference ID","ID de referência",module,Magento_Paypal
Status,Status,module,Magento_Paypal
Created,Criado,module,Magento_Paypal
N/A,"Não Disponível",module,Magento_Paypal
Updated,Atualizado,module,Magento_Paypal
Back,Voltar,module,Magento_Paypal
"Are you sure you want to do this?","Você tem que deseja fazer isso?",module,Magento_Paypal
Cancel,Cancelar,module,Magento_Paypal
"Billing Agreement #%1","Billing Agreement #%1",module,Magento_Paypal
"General Information","Informações gerais",module,Magento_Paypal
"Related Orders","Pedidos relacionados",module,Magento_Paypal
Order,Pedido,module,Magento_Paypal
Purchased,Comprado,module,Magento_Paypal
"Bill-to Name","Nome de Cobrança",module,Magento_Paypal
"Ship-to Name","Nome de Entrega",module,Magento_Paypal
"Order Total","Total do Pedido",module,Magento_Paypal
"Purchase Point","Ponto de compra",module,Magento_Paypal
"Billing Agreement View","Billing Agreement View",module,Magento_Paypal
"View Transaction Details","View Transaction Details",module,Magento_Paypal
"Reference Information","Reference Information",module,Magento_Paypal
"Transaction Information","Transaction Information",module,Magento_Paypal
"PayPal Fee Information","PayPal Fee Information",module,Magento_Paypal
"PayPal Settlement Reports","PayPal Settlement Reports",module,Magento_Paypal
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?",module,Magento_Paypal
"Fetch Updates","Fetch Updates",module,Magento_Paypal
button_label,button_label,module,Magento_Paypal
sandbox_button_label,sandbox_button_label,module,Magento_Paypal
Help,Ajuda,module,Magento_Paypal
Configure,Configurar,module,Magento_Paypal
Close,Fechar,module,Magento_Paypal
"Learn More","Saiba Mais",module,Magento_Paypal
"View Demo","View Demo",module,Magento_Paypal
"See terms","See terms",module,Magento_Paypal
"You will be redirected to the PayPal website.","You will be redirected to the PayPal website.",module,Magento_Paypal
"You will be redirected to the PayPal website when you place an order.","You will be redirected to the PayPal website when you place an order.",module,Magento_Paypal
"Incl. Tax","Imposto Incl.",module,Magento_Paypal
"Billing Information","Dados de Cobrança",module,Magento_Paypal
"Shipping Information","Dados de Entrega",module,Magento_Paypal
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?",module,Magento_Paypal
"Invalid block type","Invalid block type",module,Magento_Paypal
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again.",module,Magento_Paypal
"You canceled the billing agreement.","You canceled the billing agreement.",module,Magento_Paypal
"We can't cancel the billing agreement.","We can't cancel the billing agreement.",module,Magento_Paypal
"You deleted the billing agreement.","You deleted the billing agreement.",module,Magento_Paypal
"We can't delete the billing agreement.","We can't delete the billing agreement.",module,Magento_Paypal
Reports,Relatórios,module,Magento_Paypal
Sales,Vendas,module,Magento_Paypal
"View Transaction","View Transaction",module,Magento_Paypal
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration.",module,Magento_Paypal
"We fetched %1 report rows from ""%2@%3.""","We fetched %1 report rows from ""%2@%3.""",module,Magento_Paypal
"We can't fetch reports from \"%1@%2.\"","We can't fetch reports from \"%1@%2.\"",module,Magento_Paypal
"The billing agreement ""%1"" has been canceled.","The billing agreement ""%1"" has been canceled.",module,Magento_Paypal
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created.",module,Magento_Paypal
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard.",module,Magento_Paypal
"We can't start the billing agreement wizard.","We can't start the billing agreement wizard.",module,Magento_Paypal
"Billing Agreement # %1","Billing Agreement # %1",module,Magento_Paypal
"We can't initialize Express Checkout.","We can't initialize Express Checkout.",module,Magento_Paypal
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist.",module,Magento_Paypal
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified.",module,Magento_Paypal
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled.",module,Magento_Paypal
"Express Checkout has been canceled.","Express Checkout has been canceled.",module,Magento_Paypal
"Unable to cancel Express Checkout","Unable to cancel Express Checkout",module,Magento_Paypal
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os termos e condições antes de fazer o pedido.",module,Magento_Paypal
"We can't place the order.","Não foi possível fazer o pedido.",module,Magento_Paypal
"We can't process Express Checkout approval.","We can't process Express Checkout approval.",module,Magento_Paypal
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review.",module,Magento_Paypal
"We can't update shipping method.","Não é possível atualizar o método de envio.",module,Magento_Paypal
"To check out, please sign in with your email address.","To check out, please sign in with your email address.",module,Magento_Paypal
"We can't start Express Checkout.","We can't start Express Checkout.",module,Magento_Paypal
"Your payment has been declined. Please try again.","Seu pagamento foi recusado. Por favor, tente novamente.",module,Magento_Paypal
"Requested payment method does not match with order.","Requested payment method does not match with order.",module,Magento_Paypal
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway.",module,Magento_Paypal
"PayPal response hasn't required fields.","PayPal response hasn't required fields.",module,Magento_Paypal
"Something went wrong while processing your order.","Something went wrong while processing your order.",module,Magento_Paypal
"PayPal gateway has rejected request. %1","PayPal gateway has rejected request. %1",module,Magento_Paypal
"The PayPal gateway rejected the request. %1","The PayPal gateway rejected the request. %1",module,Magento_Paypal
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.",module,Magento_Paypal
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.",module,Magento_Paypal
"The payment method code is not set.","The payment method code is not set.",module,Magento_Paypal
"The reference ID is not set.","The reference ID is not set.",module,Magento_Paypal
"Unable to save Billing Agreement:","Unable to save Billing Agreement:",module,Magento_Paypal
Active,Ativo,module,Magento_Paypal
Canceled,Cancelado,module,Magento_Paypal
"The customer ID is not set.","The customer ID is not set.",module,Magento_Paypal
"The Billing Agreement status is not set.","The Billing Agreement status is not set.",module,Magento_Paypal
"The PayPal certificate does not exist.","The PayPal certificate does not exist.",module,Magento_Paypal
"We prefer PayPal (150 X 60)","We prefer PayPal (150 X 60)",module,Magento_Paypal
"We prefer PayPal (150 X 40)","We prefer PayPal (150 X 40)",module,Magento_Paypal
"Now accepting PayPal (150 X 60)","Now accepting PayPal (150 X 60)",module,Magento_Paypal
"Now accepting PayPal (150 X 40)","Now accepting PayPal (150 X 40)",module,Magento_Paypal
"Payments by PayPal (150 X 60)","Payments by PayPal (150 X 60)",module,Magento_Paypal
"Payments by PayPal (150 X 40)","Payments by PayPal (150 X 40)",module,Magento_Paypal
"Shop now using (150 X 60)","Shop now using (150 X 60)",module,Magento_Paypal
"Shop now using (150 X 40)","Shop now using (150 X 40)",module,Magento_Paypal
Dynamic,Dinâmico,module,Magento_Paypal
Static,Estático,module,Magento_Paypal
Shortcut,Shortcut,module,Magento_Paypal
"Acceptance Mark Image","Acceptance Mark Image",module,Magento_Paypal
Authorization,Autorização,module,Magento_Paypal
Sale,Sale,module,Magento_Paypal
Yes,Sim,module,Magento_Paypal
No,Não,module,Magento_Paypal
"For Virtual Quotes Only","For Virtual Quotes Only",module,Magento_Paypal
Auto,Automático,module,Magento_Paypal
"Ask Customer","Pergunte ao cliente",module,Magento_Paypal
Never,Nunca,module,Magento_Paypal
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only",module,Magento_Paypal
"API Signature","API Signature",module,Magento_Paypal
"API Certificate","API Certificate",module,Magento_Paypal
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway.",module,Magento_Paypal
"Ordered amount of %1","Valor comprado de %1",module,Magento_Paypal
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it.",module,Magento_Paypal
"The authorized amount is %1.","The authorized amount is %1.",module,Magento_Paypal
"The maximum number of child authorizations is reached.","The maximum number of child authorizations is reached.",module,Magento_Paypal
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.",module,Magento_Paypal
"A payer is not identified.","A payer is not identified.",module,Magento_Paypal
"Cannot get secure form URL from PayPal","Cannot get secure form URL from PayPal",module,Magento_Paypal
"Last Transaction ID","Last Transaction ID",module,Magento_Paypal
"This customer didn't include a confirmed address.","This customer didn't include a confirmed address.",module,Magento_Paypal
"The payment is authorized but not settled.","The payment is authorized but not settled.",module,Magento_Paypal
"The payment eCheck is not cleared.","The payment eCheck is not cleared.",module,Magento_Paypal
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.",module,Magento_Paypal
"The payment currency doesn't match any of the merchant's balances currency.","The payment currency doesn't match any of the merchant's balances currency.",module,Magento_Paypal
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk.",module,Magento_Paypal
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed.",module,Magento_Paypal
"The merchant account is not yet verified.","The merchant account is not yet verified.",module,Magento_Paypal
