"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.",module,Magento_Reminder
"Automated Email Marketing Reminder Rules","Automated Email Marketing Reminder Rules",module,Magento_Reminder
"Add New Rule","Adicionar Nova Regra",module,Magento_Reminder
"Are you sure you want to match this rule now?","Are you sure you want to match this rule now?",module,Magento_Reminder
"No more than %1 customers may receive the reminder email after this action.","No more than %1 customers may receive the reminder email after this action.",module,Magento_Reminder
"Run Now","Executar agora",module,Magento_Reminder
"Save and Continue Edit","Salvar e Continuar a Editar",module,Magento_Reminder
"Edit Rule '%1'","Editar Regra '%1'",module,Magento_Reminder
"New Rule","Nova Regra",module,Magento_Reminder
"Email Reminder Rule","Email Reminder Rule",module,Magento_Reminder
Conditions,Condições,module,Magento_Reminder
"You need to set at least one condition for this rule to work.","You need to set at least one condition for this rule to work.",module,Magento_Reminder
ID,ID,module,Magento_Reminder
Email,E-mail,module,Magento_Reminder
"Matched At","Matched At",module,Magento_Reminder
"Thread Active","Thread Active",module,Magento_Reminder
No,Não,module,Magento_Reminder
Yes,Sim,module,Magento_Reminder
Coupon,Cupom,module,Magento_Reminder
N/A,"Não Disponível",module,Magento_Reminder
"Coupon Use Limit","Coupon Use Limit",module,Magento_Reminder
"Coupon Use Per Customer","Coupon Use Per Customer",module,Magento_Reminder
"Emails Sent","Emails Sent",module,Magento_Reminder
"Emails Failed","Emails Failed",module,Magento_Reminder
"Last Sent","Last Sent",module,Magento_Reminder
"General Information","Informações gerais",module,Magento_Reminder
"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.",module,Magento_Reminder
"Rule Name","Nome da regra",module,Magento_Reminder
Description,Descrição,module,Magento_Reminder
"Cart Price Rule","Regra de preço no carrinho",module,Magento_Reminder
"Promotion rule this reminder will advertise.","Promotion rule this reminder will advertise.",module,Magento_Reminder
"Assigned to Website","Atribuído ao Website",module,Magento_Reminder
Status,Status,module,Magento_Reminder
Active,Ativo,module,Magento_Reminder
Inactive,Inativo,module,Magento_Reminder
From,De,module,Magento_Reminder
To,Até,module,Magento_Reminder
"Repeat Schedule","Repeat Schedule",module,Magento_Reminder
"Enter the number of days until the email reminder rule is retriggered if conditions still match (Ex: Enter ""7, 14"" to trigger emails in 7 days, and then 14 days after that).","Enter the number of days until the email reminder rule is retriggered if conditions still match (Ex: Enter ""7, 14"" to trigger emails in 7 days, and then 14 days after that).",module,Magento_Reminder
"Select Rule...","Select Rule...",module,Magento_Reminder
"Email Templates","Modelos de e-mail",module,Magento_Reminder
"Only customers who have an account for a store view will receive emails related to that store view.","Only customers who have an account for a store view will receive emails related to that store view.",module,Magento_Reminder
"Default Titles and Description","Default Titles and Description",module,Magento_Reminder
"You can find and edit rule label and descriptions, per store view, in email templates.","You can find and edit rule label and descriptions, per store view, in email templates.",module,Magento_Reminder
"Rule Title for All Store Views","Rule Title for All Store Views",module,Magento_Reminder
"Rule Description for All Store Views","Rule Description for All Store Views",module,Magento_Reminder
"Titles and Descriptions Per Store View","Titles and Descriptions Per Store View",module,Magento_Reminder
"Overrides default titles and descriptions. Note that if an email template is not specified for this store view, the respective variable values will be deleted.","Overrides default titles and descriptions. Note that if an email template is not specified for this store view, the respective variable values will be deleted.",module,Magento_Reminder
"Rule Information","Informações da Regra",module,Magento_Reminder
"Emails and Labels","Emails and Labels",module,Magento_Reminder
"Matched Customers","Matched Customers",module,Magento_Reminder
"Please correct the reminder rule you requested.","Please correct the reminder rule you requested.",module,Magento_Reminder
"You deleted the reminder rule.","You deleted the reminder rule.",module,Magento_Reminder
"We can't delete the reminder rule right now.","We can't delete the reminder rule right now.",module,Magento_Reminder
"Reminder Rules","Reminder Rules",module,Magento_Reminder
"Email Reminders","Email Reminders",module,Magento_Reminder
