"New Accounts","New Accounts",module,Magento_Reports
"Customers by number of orders","Customers by number of orders",module,Magento_Reports
"Customers by Orders Total","Customers by Orders Total",module,Magento_Reports
Filter,Filtro,module,Magento_Reports
"Date Used","Date Used",module,Magento_Reports
Day,Dia,module,Magento_Reports
Month,Mês,module,Magento_Reports
Year,Ano,module,Magento_Reports
Period,Período,module,Magento_Reports
From,De,module,Magento_Reports
To,Até,module,Magento_Reports
Yes,Sim,module,Magento_Reports
No,Não,module,Magento_Reports
"Empty Rows","Linhas vazias",module,Magento_Reports
"Invalid date specified","Invalid date specified",module,Magento_Reports
Refresh,Atualizar,module,Magento_Reports
"We can't find records for this period.","We can't find records for this period.",module,Magento_Reports
"Show Reviews","Show Reviews",module,Magento_Reports
"Products Report","Products Report",module,Magento_Reports
Downloads,Downloads,module,Magento_Reports
Product,Produto,module,Magento_Reports
Link,Link,module,Magento_Reports
SKU,SKU,module,Magento_Reports
Purchases,Compras,module,Magento_Reports
CSV,CSV,module,Magento_Reports
"Excel XML","Excel, XML",module,Magento_Reports
Unlimited,Ilimitado,module,Magento_Reports
"Low stock","Low stock",module,Magento_Reports
"Products Ordered","Products Ordered",module,Magento_Reports
"Most Viewed","Most Viewed",module,Magento_Reports
"Show Report","Show Report",module,Magento_Reports
Interval,Intervalo,module,Magento_Reports
Total,Total,module,Magento_Reports
Price,Preço,module,Magento_Reports
Views,Visões,module,Magento_Reports
"Refresh Statistics","Atualizar estatísticas",module,Magento_Reports
"Customers Reviews","Customers Reviews",module,Magento_Reports
"Reviews for %1","Reviews for %1",module,Magento_Reports
Customer,Cliente,module,Magento_Reports
Title,Título,module,Magento_Reports
Detail,Detalhe,module,Magento_Reports
Created,Criado,module,Magento_Reports
"Products Reviews","Products Reviews",module,Magento_Reports
"Products Bestsellers Report","Products Bestsellers Report",module,Magento_Reports
"Order Quantity","Order Quantity",module,Magento_Reports
"Coupons Usage Report","Coupons Usage Report",module,Magento_Reports
Subtotal,Subtotal,module,Magento_Reports
"Coupon Code","Código do cupom",module,Magento_Reports
"Price Rule","Price Rule",module,Magento_Reports
Uses,Usos,module,Magento_Reports
"Sales Subtotal","Sales Subtotal",module,Magento_Reports
"Sales Discount","Sales Discount",module,Magento_Reports
"Sales Total","Sales Total",module,Magento_Reports
Discount,Desconto,module,Magento_Reports
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report",module,Magento_Reports
Orders,Pedidos,module,Magento_Reports
"Invoiced Orders","Invoiced Orders",module,Magento_Reports
"Total Invoiced","Total Invoiced",module,Magento_Reports
"Paid Invoices","Faturas pagas",module,Magento_Reports
"Unpaid Invoices","Faturas não-pagas",module,Magento_Reports
"Total Refunded Report","Relatório total de reembolso",module,Magento_Reports
"Refunded Orders","Pedidos reembolsados",module,Magento_Reports
"Total Refunded","Total reembolsado",module,Magento_Reports
"Online Refunds","Reembolso on-line",module,Magento_Reports
"Offline Refunds","Reembolso off-line",module,Magento_Reports
"Total Ordered Report","Total Ordered Report",module,Magento_Reports
"Sales Items","Sales Items",module,Magento_Reports
Items,Itens,module,Magento_Reports
Revenue,Receita,module,Magento_Reports
Profit,Lucro,module,Magento_Reports
Invoiced,Faturado,module,Magento_Reports
Paid,Pago,module,Magento_Reports
Refunded,Reembolsado,module,Magento_Reports
"Sales Tax","Sales Tax",module,Magento_Reports
Tax,Taxa,module,Magento_Reports
"Sales Shipping","Sales Shipping",module,Magento_Reports
Shipping,Frete,module,Magento_Reports
Canceled,Cancelado,module,Magento_Reports
"Total Shipped Report","Total Shipped Report",module,Magento_Reports
Carrier/Method,Carrier/Method,module,Magento_Reports
"Total Sales Shipping","Total Sales Shipping",module,Magento_Reports
"Total Shipping","Total Shipping",module,Magento_Reports
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate",module,Magento_Reports
Rate,Rate,module,Magento_Reports
"Tax Amount","Valor do imposto",module,Magento_Reports
"Abandoned carts","Abandoned carts",module,Magento_Reports
Email,E-mail,module,Magento_Reports
Products,Produtos,module,Magento_Reports
Quantity,Quantidade,module,Magento_Reports
"Applied Coupon","Applied Coupon",module,Magento_Reports
Updated,Atualizado,module,Magento_Reports
"IP Address","IP Address",module,Magento_Reports
Customers,Clientes,module,Magento_Reports
ID,ID,module,Magento_Reports
"First Name",Nome,module,Magento_Reports
"Last Name",Sobrenome,module,Magento_Reports
"Items in Cart","Itens no Carrinho",module,Magento_Reports
"Products in carts","Products in carts",module,Magento_Reports
Carts,Carrinhos,module,Magento_Reports
Name,Nome,module,Magento_Reports
"Wish Lists","Wish Lists",module,Magento_Reports
"Wish List Purchase","Wish List Purchase",module,Magento_Reports
"Wish List vs. Regular Order","Wish List vs. Regular Order",module,Magento_Reports
"Times Deleted","Times Deleted",module,Magento_Reports
"Index type is not valid","Index type is not valid",module,Magento_Reports
Reports,Relatórios,module,Magento_Reports
"Last updated: %1. To refresh last day's <a href=\"%2\">statistics</a>, click <a href=\"%3\">here</a>.","Last updated: %1. To refresh last day's <a href=\"%2\">statistics</a>, click <a href=\"%3\">here</a>.",module,Magento_Reports
"New Accounts Report","New Accounts Report",module,Magento_Reports
"Customers by Number of Orders","Customers by Number of Orders",module,Magento_Reports
"Order Count Report","Order Count Report",module,Magento_Reports
"Order Total Report","Order Total Report",module,Magento_Reports
"Downloads Report","Downloads Report",module,Magento_Reports
"Low Stock","Low Stock",module,Magento_Reports
"Low Stock Report","Low Stock Report",module,Magento_Reports
"Ordered Products Report","Ordered Products Report",module,Magento_Reports
"Products Most Viewed Report","Products Most Viewed Report",module,Magento_Reports
"Product Views Report","Product Views Report",module,Magento_Reports
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again.",module,Magento_Reports
Review,Avaliação,module,Magento_Reports
Reviews,Avaliações,module,Magento_Reports
"Customers Report","Relatórios de clientes",module,Magento_Reports
"Customer Reviews Report","Customer Reviews Report",module,Magento_Reports
"Product Reviews Report","Product Reviews Report",module,Magento_Reports
"Product Reviews","Avaliações do Produto",module,Magento_Reports
Details,Detalhes,module,Magento_Reports
Sales,Vendas,module,Magento_Reports
"Best Sellers Report","Best Sellers Report",module,Magento_Reports
Coupons,Cupons,module,Magento_Reports
"Coupons Report","Relatório de cupons",module,Magento_Reports
"Invoice Report","Relatório de fatura",module,Magento_Reports
"Refunds Report","Relatório de reebolsos",module,Magento_Reports
"Sales Report","Relatório de vendas",module,Magento_Reports
"Shipping Report","Relatório de envio",module,Magento_Reports
"Tax Report","Tax Report",module,Magento_Reports
"Shopping Cart","Carrinho de Compras",module,Magento_Reports
"Abandoned Carts","Carrinhos abandonados",module,Magento_Reports
"Customer Shopping Carts","Customer Shopping Carts",module,Magento_Reports
"Products in Carts","Products in Carts",module,Magento_Reports
Statistics,Statistics,module,Magento_Reports
"No report code is specified.","No report code is specified.",module,Magento_Reports
"You refreshed lifetime statistics.","You refreshed lifetime statistics.",module,Magento_Reports
"We can't refresh lifetime statistics.","Não foi possível atualizar a estatística do ciclo de vida.",module,Magento_Reports
"Recent statistics have been updated.","Recent statistics have been updated.",module,Magento_Reports
"We can't refresh recent statistics.","We can't refresh recent statistics.",module,Magento_Reports
"The product type filter specified is incorrect.","The product type filter specified is incorrect.",module,Magento_Reports
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates",module,Magento_Reports
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report",module,Magento_Reports
"Promotion Coupons Usage Report","Promotion Coupons Usage Report",module,Magento_Reports
Bestsellers,"Mais Vendidos",module,Magento_Reports
"Most Viewed Products Report","Most Viewed Products Report",module,Magento_Reports
Error,Erro,module,Magento_Reports
"Show By","Mostrar por",module,Magento_Reports
"Select Date","Selecionar data",module,Magento_Reports
"Customers that have Wish List: %1","Customers that have Wish List: %1",module,Magento_Reports
"Number of Wish Lists: %1","Number of Wish Lists: %1",module,Magento_Reports
"Number of items bought from a Wish List: %1","Number of items bought from a Wish List: %1",module,Magento_Reports
"Number of times Wish Lists have been shared (emailed): %1","Number of times Wish Lists have been shared (emailed): %1",module,Magento_Reports
"Number of Wish List referrals: %1","Number of Wish List referrals: %1",module,Magento_Reports
"Number of Wish List conversions: %1","Number of Wish List conversions: %1",module,Magento_Reports
"Show Report For:","Show Report For:",module,Magento_Reports
"All Websites","Todos os sites",module,Magento_Reports
"Recently Viewed","Visualizados recentemente",module,Magento_Reports
"Add to Cart","Adicionar ao Carrinho",module,Magento_Reports
"In stock","Em estoque",module,Magento_Reports
"Out of stock","Fora de estoque",module,Magento_Reports
"Add to Wish List","Adicionar à lista de desejos",module,Magento_Reports
"Add to Compare","Adicionar para Comparar",module,Magento_Reports
"Recently Compared","Recently Compared",module,Magento_Reports
"Learn More","Saiba Mais",module,Magento_Reports
"Recently Viewed/Compared Products","Recently Viewed/Compared Products",module,Magento_Reports
"Show for Current","Show for Current",module,Magento_Reports
"Default Recently Viewed Products Count","Default Recently Viewed Products Count",module,Magento_Reports
"Default Recently Compared Products Count","Default Recently Compared Products Count",module,Magento_Reports
Dashboard,"Painel de Controle",module,Magento_Reports
"Year-To-Date Starts","Year-To-Date Starts",module,Magento_Reports
"Current Month Starts","Current Month Starts",module,Magento_Reports
"Select day of the month.","Select day of the month.",module,Magento_Reports
"Recently Viewed Products","Produtos visualizados recentemente",module,Magento_Reports
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor",module,Magento_Reports
"Number of Products to display","Number of Products to display",module,Magento_Reports
"Viewed Products Grid Template","Viewed Products Grid Template",module,Magento_Reports
"Viewed Products List Template","Viewed Products List Template",module,Magento_Reports
"Viewed Products Images and Names Template","Viewed Products Images and Names Template",module,Magento_Reports
"Viewed Products Names Only Template","Viewed Products Names Only Template",module,Magento_Reports
"Viewed Products Images Only Template","Viewed Products Images Only Template",module,Magento_Reports
