Apply,Aplicar,module,Magento_Rule
"Please choose a valid discount amount.","Please choose a valid discount amount.",module,Magento_Rule
"End Date must follow Start Date.","End Date must follow Start Date.",module,Magento_Rule
"Please specify a website.","Por favor, especifique um site.",module,Magento_Rule
"Please specify Customer Groups.","Por favor, especifique os grupos de clientes.",module,Magento_Rule
to,para,module,Magento_Rule
by,by,module,Magento_Rule
"Please choose an action to add.","Please choose an action to add.",module,Magento_Rule
"Perform following actions","Perform following actions",module,Magento_Rule
is,é,module,Magento_Rule
"is not","não é",module,Magento_Rule
"equals or greater than","é igual ou maior que",module,Magento_Rule
"equals or less than","é igual ou menor que",module,Magento_Rule
"greater than","maior do que",module,Magento_Rule
"less than","menos que",module,Magento_Rule
contains,contém,module,Magento_Rule
"does not contain","does not contain",module,Magento_Rule
"is one of","é um dos",module,Magento_Rule
"is not one of","não é um dos",module,Magento_Rule
"Please choose a condition to add.","Por favor, escolha uma condição para adicionar.",module,Magento_Rule
Add,Adicionar,module,Magento_Rule
Remove,Remover,module,Magento_Rule
ALL,ALL,module,Magento_Rule
ANY,ANY,module,Magento_Rule
TRUE,TRUE,module,Magento_Rule
FALSE,FALSE,module,Magento_Rule
"If %1 of these conditions are %2:","If %1 of these conditions are %2:",module,Magento_Rule
"Conditions Combination","Combinação de Condições",module,Magento_Rule
"Attribute Set","Conjunto de Atributos",module,Magento_Rule
Category,Categoria,module,Magento_Rule
"Open Chooser","Abrir Seletor",module,Magento_Rule
"Unknown condition operator","Unknown condition operator",module,Magento_Rule
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1"".",module,Magento_Rule
"This won't take long . . .","Não vai demorar.",module,Magento_Rule
