"Credit Memos","Memorandos de Crédito",module,Magento_Sales
Orders,Pedidos,module,Magento_Sales
Invoices,Faturas,module,Magento_Sales
"We can't get the order instance right now.","Não foi possível obter a instância do pedido.",module,Magento_Sales
"Create New Order","Criar novo pedido",module,Magento_Sales
"Save Order Address","Salvar endereço do pedido",module,Magento_Sales
Shipping,Frete,module,Magento_Sales
Billing,Cobrança,module,Magento_Sales
"Edit Order %1 %2 Address","Editar pedido %1 %2 endereço",module,Magento_Sales
"Order Address Information","Informações de endereço do pedido",module,Magento_Sales
"Please correct the parent block for this block.","Por favor, corrija o bloco pai para este bloco.",module,Magento_Sales
"Submit Comment","Enviar comentário",module,Magento_Sales
"Submit Order","Enviar pedido",module,Magento_Sales
"Are you sure you want to cancel this order?","Você tem certeza que deseja cancelar este pedido?",module,Magento_Sales
Cancel,Cancelar,module,Magento_Sales
"Billing Address","Endereço de Cobrança",module,Magento_Sales
"Payment Method","Forma de pagamento",module,Magento_Sales
"Order Comment","Comentário do pedido",module,Magento_Sales
Coupons,Cupons,module,Magento_Sales
"Please select a customer","Por favor selecione um cliente",module,Magento_Sales
"Create New Customer","Criar novo cliente",module,Magento_Sales
"Account Information","Informações da Conta",module,Magento_Sales
From,De,module,Magento_Sales
To,Até,module,Magento_Sales
Message,Mensagem,module,Magento_Sales
"Edit Order #%1","Editar pedido #%1",module,Magento_Sales
"Create New Order for %1 in %2","Criar novo pedido para %1 em %2",module,Magento_Sales
"Create New Order for New Customer in %1","Criar novo pedido, para um novo cliente em %1",module,Magento_Sales
"Create New Order for %1","Criar novo pedido para %1",module,Magento_Sales
"Create New Order for New Customer","Criar novo pedido, para um novo cliente",module,Magento_Sales
"Items Ordered","Itens comprados",module,Magento_Sales
"This product is disabled.","Este produto está desabilitado.",module,Magento_Sales
"Buy %1 for price %2","Compre %1 pelo preço de %2",module,Magento_Sales
"Item ordered qty","Qtde comprada do item",module,Magento_Sales
"%1 with %2 discount each","%1 com %2 de desconto cada",module,Magento_Sales
"%1 for %2","%1 por %2",module,Magento_Sales
"* - Enter custom price including tax","* - Inserir preço personalizado, incluindo impostos",module,Magento_Sales
"* - Enter custom price excluding tax","* - Inserir preço personalizado, excluindo impostos",module,Magento_Sales
Configure,Configurar,module,Magento_Sales
"This product does not have any configurable options","Este produto não possui qualquer opções configuráveis",module,Magento_Sales
"Newsletter Subscription","Assinar Newsletter",module,Magento_Sales
"Please select products","Por favor, selecione os produtos",module,Magento_Sales
"Add Selected Product(s) to Order","Adicionar o(s) produto(s) selecionado(s) ao pedido",module,Magento_Sales
ID,ID,module,Magento_Sales
Product,Produto,module,Magento_Sales
SKU,SKU,module,Magento_Sales
Price,Preço,module,Magento_Sales
Select,Selecione,module,Magento_Sales
Quantity,Quantidade,module,Magento_Sales
