Back,Voltar,module,Magento_Support
"Backup Log Details","Backup Log Details",module,Magento_Support
Create,Create,module,Magento_Support
"Requested system report has no data to output.","Requested system report has no data to output.",module,Magento_Support
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1",module,Magento_Support
"Are you sure you want to delete the system report?","Are you sure you want to delete the system report?",module,Magento_Support
Download,"Fazer Download",module,Magento_Support
"Go to Top","Go to Top",module,Magento_Support
Report,Relatório,module,Magento_Support
"System Report Information","System Report Information",module,Magento_Support
"Requested system report has no data to display.","Requested system report has no data to display.",module,Magento_Support
"Output path %1 doesn't exist","Output path %1 doesn't exist",module,Magento_Support
"Unknown DB param: %1","Unknown DB param: %1",module,Magento_Support
"Paths file already exists","Paths file already exists",module,Magento_Support
"Paths file cannot be created","Paths file cannot be created",module,Magento_Support
"Please select item(s).","Please select item(s).",module,Magento_Support
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos.",module,Magento_Support
Support,Support,module,Magento_Support
"Data Collector","Data Collector",module,Magento_Support
"The backup has been saved.","The backup has been saved.",module,Magento_Support
"Failed to save backup with error: %1","Failed to save backup with error: %1",module,Magento_Support
"An error occurred while saving backup","An error occurred while saving backup",module,Magento_Support
"All processes should be complete","All processes should be complete",module,Magento_Support
"Wrong param id","Wrong param id",module,Magento_Support
"The backup has been deleted.","The backup has been deleted.",module,Magento_Support
"Cannot delete backup","Cannot delete backup",module,Magento_Support
"File does not exist","File does not exist",module,Magento_Support
"Log Details","Log Details",module,Magento_Support
"An error occurred during mass deletion of data collector backups. Please review log and try again.","An error occurred during mass deletion of data collector backups. Please review log and try again.",module,Magento_Support
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.",module,Magento_Support
"Create System Report","Create System Report",module,Magento_Support
"Unable to find a system report to delete.","Unable to find a system report to delete.",module,Magento_Support
"The system report has been deleted.","The system report has been deleted.",module,Magento_Support
"An error occurred while deleting the system report. Please review log and try again.","An error occurred while deleting the system report. Please review log and try again.",module,Magento_Support
"Requested system report no longer exists.","Requested system report no longer exists.",module,Magento_Support
"Unable to read system report data to display.","Unable to read system report data to display.",module,Magento_Support
"No groups were specified to generate system report.","No groups were specified to generate system report.",module,Magento_Support
"The system report has been generated.","The system report has been generated.",module,Magento_Support
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again.",module,Magento_Support
"System Reports","System Reports",module,Magento_Support
"An error occurred during mass deletion of system reports. Please review log and try again.","An error occurred during mass deletion of system reports. Please review log and try again.",module,Magento_Support
"Utility %1 not found","Utility %1 not found",module,Magento_Support
"Unknown utility: %1","Unknown utility: %1",module,Magento_Support
"Support Module doesn't support %s operation system","Support Module doesn't support %s operation system",module,Magento_Support
"Unable to create backup due to php exec function is disabled","Unable to create backup due to php exec function is disabled",module,Magento_Support
Incomplete,Incomplete,module,Magento_Support
Complete,Finalizado,module,Magento_Support
Failed,Failed,module,Magento_Support
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions",module,Magento_Support
Windows,Windows,module,Magento_Support
"OS X","OS X",module,Magento_Support
"Unknown Status","Status desconhecido",module,Magento_Support
"Processing ...","Processing ...",module,Magento_Support
(now),(now),module,Magento_Support
"[%1 minutes ago]","[%1 minutes ago]",module,Magento_Support
"[%1 hours ago]","[%1 hours ago]",module,Magento_Support
"[%1 days ago]","[%1 days ago]",module,Magento_Support
"[%1 weeks ago]","[%1 weeks ago]",module,Magento_Support
"[%1 months ago]","[%1 months ago]",module,Magento_Support
"[%1 years ago]","[%1 years ago]",module,Magento_Support
"And more...","And more...",module,Magento_Support
"Column %1","Column %1",module,Magento_Support
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete.",module,Magento_Support
Yes,Sim,module,Magento_Support
No,Não,module,Magento_Support
"All Eav Attributes","All Eav Attributes",module,Magento_Support
"Category Eav Attributes","Category Eav Attributes",module,Magento_Support
"Customer Address Eav Attributes","Customer Address Eav Attributes",module,Magento_Support
"Customer Eav Attributes","Customer Eav Attributes",module,Magento_Support
"Entity Types","Entity Types",module,Magento_Support
ID,ID,module,Magento_Support
Code,Código,module,Magento_Support
Model,Model,module,Magento_Support
"Attribute Model","Attribute Model",module,Magento_Support
"Increment Model","Increment Model",module,Magento_Support
"Main Table","Main Table",module,Magento_Support
