"First-Class Mail Large Envelope","First-Class Mail Large Envelope",module,Magento_Usps
"First-Class Mail Letter","First-Class Mail Letter",module,Magento_Usps
"First-Class Mail Parcel","First-Class Mail Parcel",module,Magento_Usps
"First-Class Mail Postcards","First-Class Mail Postcards",module,Magento_Usps
"Priority Mail","Priority Mail",module,Magento_Usps
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup",module,Magento_Usps
"Priority Mail Express","Priority Mail Express",module,Magento_Usps
"Retail Ground","Retail Ground",module,Magento_Usps
"Media Mail","Media Mail",module,Magento_Usps
"Library Mail","Library Mail",module,Magento_Usps
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope",module,Magento_Usps
"First-Class Mail Large Postcards","First-Class Mail Large Postcards",module,Magento_Usps
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate Envelope",module,Magento_Usps
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box",module,Magento_Usps
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box",module,Magento_Usps
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope",module,Magento_Usps
"Priority Mail Hold For Pickup","Priority Mail Hold For Pickup",module,Magento_Usps
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box Hold For Pickup",module,Magento_Usps
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box Hold For Pickup",module,Magento_Usps
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box Hold For Pickup",module,Magento_Usps
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate Envelope",module,Magento_Usps
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate Envelope",module,Magento_Usps
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate Envelope",module,Magento_Usps
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate Envelope",module,Magento_Usps
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A",module,Magento_Usps
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A Hold For Pickup",module,Magento_Usps
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B",module,Magento_Usps
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B Hold For Pickup",module,Magento_Usps
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes",module,Magento_Usps
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C",module,Magento_Usps
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Hold For Pickup",module,Magento_Usps
"First-Class Package Service","First-Class Package Service",module,Magento_Usps
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup",module,Magento_Usps
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope",module,Magento_Usps
"Priority Mail Express International","Priority Mail Express International",module,Magento_Usps
"Priority Mail International","Priority Mail International",module,Magento_Usps
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)",module,Magento_Usps
"Global Express Guaranteed Document","Global Express Guaranteed Document",module,Magento_Usps
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular",module,Magento_Usps
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular",module,Magento_Usps
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate Envelope",module,Magento_Usps
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box",module,Magento_Usps
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope",module,Magento_Usps
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box",module,Magento_Usps
"USPS GXG Envelopes","USPS GXG Envelopes",module,Magento_Usps
"First-Class Mail International Letter","First-Class Mail International Letter",module,Magento_Usps
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope",module,Magento_Usps
"First-Class Package International Service","First-Class Package International Service",module,Magento_Usps
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box",module,Magento_Usps
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope",module,Magento_Usps
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate Envelope",module,Magento_Usps
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope",module,Magento_Usps
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope",module,Magento_Usps
"First-Class Mail International Postcard","First-Class Mail International Postcard",module,Magento_Usps
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope",module,Magento_Usps
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope",module,Magento_Usps
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box",module,Magento_Usps
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box",module,Magento_Usps
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope",module,Magento_Usps
Letter,Letter,module,Magento_Usps
Flat,Flat,module,Magento_Usps
Parcel,Parcel,module,Magento_Usps
Variable,Variável,module,Magento_Usps
"Flat-Rate Box","Flat-Rate Box",module,Magento_Usps
"Flat-Rate Envelope","Flat-Rate Envelope",module,Magento_Usps
Rectangular,Rectangular,module,Magento_Usps
Non-rectangular,Non-rectangular,module,Magento_Usps
Regular,Regular,module,Magento_Usps
Large,Large,module,Magento_Usps
Yes,Sim,module,Magento_Usps
No,Não,module,Magento_Usps
"Not Required","Não é necessário",module,Magento_Usps
Required,Obrigatório,module,Magento_Usps
"For some reason we can't retrieve tracking info right now.","Por alguma razão não é possível recuperar informação de rastreamento agora.",module,Magento_Usps
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Sorry, something went wrong. Please try again or contact us and we'll try to help.",module,Magento_Usps
